id,category,pillar,funnel_stage,title,hook,objective,platform,cta,audience_response,status
1,Missed Leads,P1,Awareness,The 7:42pm Call,"Your best lead this week called at 7:42pm. Did anyone answer?",Make after-hours leakage visceral,IG Reels/TikTok,Follow for more,That's me — I miss after-hours calls,idea
2,Missed Leads,P1,Awareness,The Voicemail Graveyard,"Open your voicemail. Count how many already hired someone else.",Show voicemail is not a safety net,IG Reels/TikTok,Follow for more,I never call those back in time,idea
3,Missed Leads,P1,Awareness,On the Roof Missing the Phone,"You were on a roof. The phone rang. They called the next guy.",Name the can't-work-and-answer bind,TikTok/IG Reels,Follow for more,Exactly — I can't do both,idea
4,Missed Leads,P1,Consideration,The Missed Call Math,"Miss 10 calls a month. Say 3 would've booked. What's a job worth?",Turn missed calls into dollars (hypothetical),IG Reels/YT Shorts,See your number (Calculator),I should add that up,idea
5,Missed Leads,P1,Awareness,The Silent Leak,"The most expensive thing in your business makes no sound.",Frame invisibility of the problem,IG Reels,Follow for more,I have no idea how many I miss,idea
6,Missed Leads,P1,Consideration,Weekend Leads Don't Wait,"Storm hits Saturday. By Monday they hired three competitors.",Seasonal/emergency urgency,TikTok/IG Reels,See your number,Weekends are my worst gap,idea
7,Missed Leads,P1,Awareness,The Lead That Called Twice,"They called once. No answer. Once more. Then never again.",Show how thin the window is,IG Reels,Follow for more,I've lost people like that,idea
8,Missed Leads,P1,Consideration,Missed Call = Missed Paycheck,"A missed call is a missed deposit, crew day, and paycheck.",Connect missed call to downstream cost,IG Reels/TikTok,See your number,It adds up to more than I think,idea
9,Missed Leads,P1,Awareness,The Phone Tag Trap,"You call back. Voicemail. They call. You're on a job. Gone.",Show phone tag as silent killer,IG Reels,Follow for more,Phone tag loses me jobs,idea
10,Revenue Leaks,P1,Consideration,You Don't Have a Marketing Problem,"You don't have a marketing problem. You have a follow-up problem.",Plant the core reframe,All,See your number,That might be true for me,idea
11,Revenue Leaks,P1,Consideration,Paying for Leads You Never Catch,"You pay for the lead, then lose it before you say hello.",Show waste of unanswered paid leads,IG Reels/LinkedIn,See your number,I'm paying twice,idea
12,Revenue Leaks,P1,Awareness,The Leak Below the Waterline,"Revenue isn't down because of sales. It's leaking below the line.",Visual metaphor for invisible loss,IG Reels,Follow for more,I need to find my leak,idea
13,Revenue Leaks,P1,Awareness,The Cost of 'I'll Call Tomorrow',"'I'll call them back tomorrow' is the most expensive sentence.",Attack the delay habit,TikTok/IG Reels,Follow for more,I say that every day,idea
14,Revenue Leaks,P1,Consideration,A Slow Reply Is a Price Increase,"Every hour you take to reply, your odds of winning drop.",Speed-to-lead as revenue lever,LinkedIn/IG Reels,See your number,Speed matters more than I knew,idea
15,Revenue Leaks,P1,Consideration,The Number Not on Any Report,"One number never shows on a report: jobs lost by being slow.",Name the unmeasured loss (hypothetical),IG Reels,See your number,I want to know that number,idea
